"Año","Comunidad autónoma","Provincia","Llamante","Número de llamadas pertinentes"
"Año 2007","Andalucía","Almería","Usuaria","153.0"
"Año 2007","Andalucía","Almería","Familiares/Personas allegadas","27.0"
"Año 2007","Andalucía","Almería","Otros","1.0"
"Año 2007","Andalucía","Cádiz","Usuaria","189.0"
"Año 2007","Andalucía","Cádiz","Familiares/Personas allegadas","44.0"
"Año 2007","Andalucía","Cádiz","Otros","7.0"
"Año 2007","Andalucía","Córdoba","Usuaria","162.0"
"Año 2007","Andalucía","Córdoba","Familiares/Personas allegadas","29.0"
"Año 2007","Andalucía","Córdoba","Otros","6.0"
"Año 2007","Andalucía","Granada","Usuaria","256.0"
"Año 2007","Andalucía","Granada","Familiares/Personas allegadas","42.0"
"Año 2007","Andalucía","Granada","Otros","7.0"
"Año 2007","Andalucía","Huelva","Usuaria","86.0"
"Año 2007","Andalucía","Huelva","Familiares/Personas allegadas","19.0"
"Año 2007","Andalucía","Huelva","Otros","4.0"
"Año 2007","Andalucía","Jaén","Usuaria","131.0"
"Año 2007","Andalucía","Jaén","Familiares/Personas allegadas","17.0"
"Año 2007","Andalucía","Jaén","Otros","6.0"
"Año 2007","Andalucía","Málaga","Usuaria","365.0"
"Año 2007","Andalucía","Málaga","Familiares/Personas allegadas","83.0"
"Año 2007","Andalucía","Málaga","Otros","7.0"
"Año 2007","Andalucía","Sevilla","Usuaria","624.0"
"Año 2007","Andalucía","Sevilla","Familiares/Personas allegadas","144.0"
"Año 2007","Andalucía","Sevilla","Otros","15.0"
"Año 2007","Aragón","Huesca","Usuaria","38.0"
"Año 2007","Aragón","Huesca","Familiares/Personas allegadas","8.0"
"Año 2007","Aragón","Huesca","Otros","4.0"
"Año 2007","Aragón","Teruel","Usuaria","40.0"
"Año 2007","Aragón","Teruel","Familiares/Personas allegadas","2.0"
"Año 2007","Aragón","Teruel","Otros","1.0"
"Año 2007","Aragón","Zaragoza","Usuaria","156.0"
"Año 2007","Aragón","Zaragoza","Familiares/Personas allegadas","35.0"
"Año 2007","Aragón","Zaragoza","Otros","6.0"
"Año 2007","Principado de Asturias","Asturias","Usuaria","253.0"
"Año 2007","Principado de Asturias","Asturias","Familiares/Personas allegadas","53.0"
"Año 2007","Principado de Asturias","Asturias","Otros","7.0"
"Año 2007","Islas Baleares","Islas Baleares","Usuaria","315.0"
"Año 2007","Islas Baleares","Islas Baleares","Familiares/Personas allegadas","44.0"
"Año 2007","Islas Baleares","Islas Baleares","Otros","9.0"
"Año 2007","Canarias","Las Palmas","Usuaria","385.0"
"Año 2007","Canarias","Las Palmas","Familiares/Personas allegadas","74.0"
"Año 2007","Canarias","Las Palmas","Otros","9.0"
"Año 2007","Canarias","Santa Cruz de Tenerife","Usuaria","304.0"
"Año 2007","Canarias","Santa Cruz de Tenerife","Familiares/Personas allegadas","49.0"
"Año 2007","Canarias","Santa Cruz de Tenerife","Otros","7.0"
"Año 2007","Cantabria","Cantabria","Usuaria","185.0"
"Año 2007","Cantabria","Cantabria","Familiares/Personas allegadas","24.0"
"Año 2007","Cantabria","Cantabria","Otros","3.0"
"Año 2007","Castilla y León","Ávila","Usuaria","63.0"
"Año 2007","Castilla y León","Ávila","Familiares/Personas allegadas","13.0"
"Año 2007","Castilla y León","Ávila","Otros","1.0"
"Año 2007","Castilla y León","Burgos","Usuaria","65.0"
"Año 2007","Castilla y León","Burgos","Familiares/Personas allegadas","10.0"
"Año 2007","Castilla y León","Burgos","Otros","5.0"
"Año 2007","Castilla y León","León","Usuaria","130.0"
"Año 2007","Castilla y León","León","Familiares/Personas allegadas","16.0"
"Año 2007","Castilla y León","León","Otros","7.0"
"Año 2007","Castilla y León","Palencia","Usuaria","46.0"
"Año 2007","Castilla y León","Palencia","Familiares/Personas allegadas","9.0"
"Año 2007","Castilla y León","Salamanca","Usuaria","81.0"
"Año 2007","Castilla y León","Salamanca","Familiares/Personas allegadas","25.0"
"Año 2007","Castilla y León","Salamanca","Otros","5.0"
"Año 2007","Castilla y León","Segovia","Usuaria","48.0"
"Año 2007","Castilla y León","Segovia","Familiares/Personas allegadas","1.0"
"Año 2007","Castilla y León","Soria","Usuaria","26.0"
"Año 2007","Castilla y León","Soria","Familiares/Personas allegadas","8.0"
"Año 2007","Castilla y León","Valladolid","Usuaria","161.0"
"Año 2007","Castilla y León","Valladolid","Familiares/Personas allegadas","28.0"
"Año 2007","Castilla y León","Valladolid","Otros","6.0"
"Año 2007","Castilla y León","Zamora","Usuaria","36.0"
"Año 2007","Castilla y León","Zamora","Familiares/Personas allegadas","2.0"
"Año 2007","Castilla y León","Zamora","Otros","1.0"
"Año 2007","Castilla - La Mancha","Albacete","Usuaria","50.0"
"Año 2007","Castilla - La Mancha","Albacete","Familiares/Personas allegadas","13.0"
"Año 2007","Castilla - La Mancha","Albacete","Otros","2.0"
"Año 2007","Castilla - La Mancha","Ciudad Real","Usuaria","93.0"
"Año 2007","Castilla - La Mancha","Ciudad Real","Familiares/Personas allegadas","23.0"
"Año 2007","Castilla - La Mancha","Ciudad Real","Otros","4.0"
"Año 2007","Castilla - La Mancha","Cuenca","Usuaria","34.0"
"Año 2007","Castilla - La Mancha","Cuenca","Familiares/Personas allegadas","7.0"
"Año 2007","Castilla - La Mancha","Cuenca","Otros","3.0"
"Año 2007","Castilla - La Mancha","Guadalajara","Usuaria","36.0"
"Año 2007","Castilla - La Mancha","Guadalajara","Familiares/Personas allegadas","9.0"
"Año 2007","Castilla - La Mancha","Guadalajara","Otros","1.0"
"Año 2007","Castilla - La Mancha","Toledo","Usuaria","181.0"
"Año 2007","Castilla - La Mancha","Toledo","Familiares/Personas allegadas","37.0"
"Año 2007","Castilla - La Mancha","Toledo","Otros","8.0"
"Año 2007","Cataluña","Barcelona","Usuaria","1256.0"
"Año 2007","Cataluña","Barcelona","Familiares/Personas allegadas","252.0"
"Año 2007","Cataluña","Barcelona","Otros","33.0"
"Año 2007","Cataluña","Girona","Usuaria","93.0"
"Año 2007","Cataluña","Girona","Familiares/Personas allegadas","24.0"
"Año 2007","Cataluña","Lleida","Usuaria","84.0"
"Año 2007","Cataluña","Lleida","Familiares/Personas allegadas","15.0"
"Año 2007","Cataluña","Lleida","Otros","1.0"
"Año 2007","Cataluña","Tarragona","Usuaria","138.0"
"Año 2007","Cataluña","Tarragona","Familiares/Personas allegadas","22.0"
"Año 2007","Cataluña","Tarragona","Otros","7.0"
"Año 2007","Comunidad Valenciana","Alicante","Usuaria","506.0"
"Año 2007","Comunidad Valenciana","Alicante","Familiares/Personas allegadas","80.0"
"Año 2007","Comunidad Valenciana","Alicante","Otros","12.0"
"Año 2007","Comunidad Valenciana","Castellón","Usuaria","104.0"
"Año 2007","Comunidad Valenciana","Castellón","Familiares/Personas allegadas","21.0"
"Año 2007","Comunidad Valenciana","Castellón","Otros","3.0"
"Año 2007","Comunidad Valenciana","Valencia","Usuaria","596.0"
"Año 2007","Comunidad Valenciana","Valencia","Familiares/Personas allegadas","129.0"
"Año 2007","Comunidad Valenciana","Valencia","Otros","22.0"
"Año 2007","Extremadura","Badajoz","Usuaria","163.0"
"Año 2007","Extremadura","Badajoz","Familiares/Personas allegadas","28.0"
"Año 2007","Extremadura","Badajoz","Otros","8.0"
"Año 2007","Extremadura","Cáceres","Usuaria","82.0"
"Año 2007","Extremadura","Cáceres","Familiares/Personas allegadas","20.0"
